"","Nutzer","X","Frage","Zeitpunkt","Antwort","Gewicht","Alter","Geschlecht","Bevölkerungsdichte","Kaufkraft","Berufliche.Stellung","Berufsbildung","Beschäftigungsstatus","Familienstand","Kinder.im.Haushalt","Ost_West","Religion","Bildungsabschluss","Ontic","ontic_bin","CDU.CSU","SPD","Grüne","FDP","AfD","Linke","Sonntagsfrage"
"11","00fbe602ea27f423d3aaf2201bfdfcef9c800779",5127,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-09","Keine Angabe",0.73579715030611,"65 +","Frauen","Mittel","Hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet",NA,"Westen","Eine andere","Abitur","Linke",0,0,0,0,0,0,1,"Linke"
"12","0102d41a798c4053bf5855fd99cceff751481af7",1344,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-16","Bin schon fest entschieden",1.28388563399198,"65 +","Männer","Niedrig","Niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"13","011a6292e0298126991a71c1ccae50c1ebf4f940",3031,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-10","Bin schon fest entschieden",0.547902962914665,"50 - 64","Frauen","Hoch","Sehr hoch","Selbstständig","Studium oder höher","Selbstständige","Ledig","Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"14","01253282ab0d287739342e17229db8ea55f416a7",4169,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-06","Bin schon fest entschieden",0.689023353963248,"50 - 64","Frauen","Mittel","Sehr hoch","Leitender Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"15","0146b9bea5af380f37cf338c10b8ded896b1a9b3",2458,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-12","Bin schon fest entschieden",0.653226262804992,"50 - 64","Frauen","Sehr niedrig","Mittel","Selbstständig","Berufsausbildung","Selbstständige","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","FDP",0,0,0,0,1,0,0,"FDP"
"16","015d169545d9c3aa6ecdd499c3997bf9221e0027",3307,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-09","Bin schon fest entschieden",0.618817004894777,"65 +","Frauen","Sehr niedrig","Sehr niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Mittlere Reife","AfD",0,0,0,0,0,1,0,"AfD"
"17","0160a0deb4814a55b96bc2994cb16187fb14c20c",2627,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-11","Bin schon fest entschieden",1.27273673200706,"18 - 29","Männer","Hoch","Sehr hoch",NA,"Noch in Ausbildung","Studenten","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","Linke",0,0,0,0,0,0,1,"Linke"
"18","01804770155abd55f3e8748d653983ca8c088e30",471,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-19","Bin schon fest entschieden",0.694306266614801,"18 - 29","Frauen","Mittel","Sehr hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Evangelisch","Mittlere Reife","AfD",0,0,0,0,0,1,0,"AfD"
"19","018994bd019ff0720da36e4253acd7cabe2e15bd",3612,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-08","Bin schon fest entschieden",0.860355043179795,"50 - 64","Männer","Hoch","Sehr hoch","Leitender Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"20","01ab917f751341ab5c963ebc0558cfd3a3383ab5",3662,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-08","Bin schon fest entschieden",0.680330209167212,"50 - 64","Frauen","Niedrig","Sehr hoch","Beamter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Evangelisch","Mittlere Reife","Grüne",0,0,0,1,0,0,0,"Grüne"
"21","01b0f6a510d691732c39253b3e1ca54c5677da8d",2294,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-13","Bin schon fest entschieden",0.567031901026703,"50 - 64","Männer","Mittel","Mittel","Nicht berufstätig","Berufsausbildung","Arbeitslose / Nichterwerbspersonen","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Mittlere Reife","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"22","01b500cdd45565abd9089df702932bcb9adcaba7",1262,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-16","Bin schon fest entschieden",1.42764251327033,"65 +","Frauen","Niedrig","Sehr hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"23","01c19673c498853a422d5bfc1af23700d54240c1",1601,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-15","Bin schon fest entschieden",0.315854723262203,"65 +","Frauen","Hoch","Sehr hoch","Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Grüne",0,0,0,1,0,0,0,"Grüne"
"24","01c1bde82e22e3636d378fc369fc4b1a5857d721",2801,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-11","Bin schon fest entschieden",0.494412022810936,"50 - 64","Männer","Hoch","Sehr niedrig","Leitender Angestellter","Studium oder höher","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"25","01d4cb9b61a31bd730a6f48c75a17b1843bcfe9c",765,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-18","Bin schon fest entschieden",1.39364243776844,"65 +","Frauen","Mittel","Hoch",NA,"Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"26","01e78cb55e421f4735680fd5bb81e240f6455066",325,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-19","Bin schon fest entschieden",1.91983504343281,"30 - 39","Männer","Hoch","Sehr niedrig","Angestellter","Studium oder höher","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"27","01ec9702a18c5e7e3696ba676a854dab51c7d3ca",5019,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-06","Bin noch nicht fest entschieden",0.685370262550972,"40 - 49","Männer","Hoch","Niedrig","Beamter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Konfessionslos","Abitur","Grüne-.-Linke",1,0,0,1,0,0,1,"Linke"
"28","01f6667515c6f98a7f8137fd03955d3f9d46ff03",2319,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-13","Bin schon fest entschieden",0.56006224051685,"50 - 64","Männer","Hoch","Mittel",NA,"Berufsausbildung","Arbeitslose / Nichterwerbspersonen","Ledig","Keine Kinder im Haushalt","Westen","Katholisch","Hauptschule / kein Abschluss","Grüne",0,0,0,1,0,0,0,"Grüne"
"29","02083038d86038528a7c5ed12c67c2af8c530b41",788,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-18","Bin schon fest entschieden",0.554717022069466,"65 +","Männer","Sehr hoch","Sehr niedrig","Nicht berufstätig","Ohne Abschluss","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Hauptschule / kein Abschluss","SPD",0,0,1,0,0,0,0,"SPD"
"30","020f65882c9829efcbefd695100347c47fb95259",957,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-17","Bin schon fest entschieden",0.655340111246732,"50 - 64","Frauen","Hoch","Hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"31","02180cb0aa0d28fda182b6be50b29e4994155ea7",3346,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-09","Bin schon fest entschieden",0.540576589338957,"65 +","Männer","Mittel","Hoch","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","AfD",0,0,0,0,0,1,0,"AfD"
"32","021b4567c04c49482cb331c83ea1b17933ecc217",584,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-19","Bin schon fest entschieden",1.03645654874268,"18 - 29","Männer","Hoch","Mittel","Nicht berufstätig","Noch in Ausbildung","Studenten","Ledig","Keine Kinder im Haushalt","Westen","Eine andere","Abitur","Grüne",0,0,0,1,0,0,0,"Grüne"
"33","0234742cc5c556053d166d0cd5ed0c35587f17aa",3890,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-07","Bin schon fest entschieden",1.31455461312353,"65 +","Männer","Sehr niedrig","Mittel","Beamter","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"34","0240379dbc843d233e83ea95275e8bb80a5f7f49",3161,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-09","Bin schon fest entschieden",0.68053435744622,"65 +","Männer","Mittel","Sehr hoch","Leitender Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","FDP",0,0,0,0,1,0,0,"FDP"
"35","0246921ef907bfb85ebb4d22dbdde71dab1998b3",3572,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-08","Bin schon fest entschieden",1.28620494012844,"50 - 64","Frauen","Sehr niedrig","Niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"36","02505e6725ffd79c01ceda4628652a09c8ebc3ec",2301,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-13","Bin schon fest entschieden",0.716689972892462,"50 - 64","Frauen","Mittel","Sehr hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"37","025337e143c68258849256a99fe4711dfa28fc75",4110,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-06","Bin schon fest entschieden",0.775874932502183,"50 - 64","Frauen","Mittel","Mittel","Beamter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","FDP",0,0,0,0,1,0,0,"FDP"
"38","0261255966860501fbc26b0889d10c2bcfaf50f2",5002,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-06","Bin noch nicht fest entschieden",1.90387426246524,"18 - 29","Männer","Hoch","Hoch",NA,"Noch in Ausbildung","Arbeitslose / Nichterwerbspersonen","Ledig","Kinder im Haushalt","Westen",NA,NA,"Grüne",0,0,0,1,0,0,0,"Grüne"
"39","02748b6a9f0fb8311031b2d6feb1cf1607a6416e",1053,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-17","Bin schon fest entschieden",0.95668519286871,"50 - 64","Frauen","Niedrig","Sehr niedrig","Leitender Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Mittlere Reife","Grüne",0,0,0,1,0,0,0,"Grüne"
"40","0277d2f2fa6947ee2159769a03230f85f83c190d",5040,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-06","Bin noch nicht fest entschieden",1.53758464016796,"18 - 29","Männer","Hoch","Sehr hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD-.-Grüne",1,0,1,1,0,0,0,"SPD"
"41","028433e6af91f5f0426b86c78da536973a6f90c7",111,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-19","Bin schon fest entschieden",2.29660377036845,"30 - 39","Männer","Niedrig","Mittel",NA,NA,"Arbeitslose / Nichterwerbspersonen",NA,NA,"Westen",NA,NA,"CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"42","028eaad9385669058363bc96716dca397fb9b8ef",951,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-17","Bin schon fest entschieden",0.789739709934025,"65 +","Männer","Mittel","Sehr hoch","Leitender Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"43","028fc8934bbcaa7a042a2c18b84dde5291d8323e",3257,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-09","Bin schon fest entschieden",0.857224066122709,"50 - 64","Frauen","Mittel","Hoch","Selbstständig","Studium oder höher","Selbstständige","Ledig","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"44","029c4eda97b055bc4dab66a669873ae59782f5d5",500,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-19","Bin schon fest entschieden",1.87518172479376,"18 - 29","Männer","Hoch","Sehr niedrig","Nicht berufstätig","Noch in Ausbildung","Studenten","Ledig","Kinder im Haushalt","Westen","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"45","029cb6483a1abb06a621227c4277e4fce284d9fb",1527,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-15","Bin schon fest entschieden",1.28608770001505,"65 +","Männer","Niedrig","Hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Mittlere Reife","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"46","02a317b53ea39ae0db7a3742540af9cf020eee83",3239,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-09","Bin schon fest entschieden",2.67751123169385,"18 - 29","Frauen","Sehr niedrig","Sehr niedrig","Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Mittlere Reife","SPD",0,0,1,0,0,0,0,"SPD"
"47","02ac647c80c778bbd8774d0b2d965400aee31625",5025,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-06","Bin noch nicht fest entschieden",1.32826368772491,"40 - 49","Frauen","Hoch","Sehr niedrig","Angestellter","Berufsausbildung","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","Grüne",0,0,0,1,0,0,0,"Grüne"
"48","02b0abb1b203fd3bc9e7efbcf741b1586e9a6dc0",3575,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-08","Bin schon fest entschieden",0.907874140860296,"50 - 64","Frauen","Niedrig","Sehr niedrig","Angestellter","Studium oder höher","Arbeitnehmer","Geschieden","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"49","02ba51782d169dc94753325e55ecb53744439e56",1719,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-14","Bin schon fest entschieden",0.441784763580175,"65 +","Frauen","Mittel","Mittel","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Grüne",0,0,0,1,0,0,0,"Grüne"
"50","02daf8e074222df852060b75e4cb3ec6f1071124",3219,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-09","Bin schon fest entschieden",0.73818648116146,"50 - 64","Männer","Sehr niedrig","Mittel","Selbstständig","Berufsausbildung","Selbstständige","Geschieden","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"51","02df21fa9d8eaf780f9bfd4402634c8b48a0b808",3834,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-07","Bin schon fest entschieden",0.679615203093036,"50 - 64","Männer","Mittel","Mittel","Angestellter","Berufsausbildung","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Eine andere","Mittlere Reife","FDP",0,0,0,0,1,0,0,"FDP"
"52","02e2fb1a13b7b571c49a8c90f0fdcb1f7c93e6f3",2387,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-12","Bin schon fest entschieden",0.853286945012458,"65 +","Männer","Hoch","Sehr niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0,"SPD"
"53","02e917bb83378ff4b0aeb54b75774209fd0fa192",255,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-19","Bin schon fest entschieden",0.650370924159203,"18 - 29","Männer","Sehr hoch","Hoch","Nicht berufstätig","Noch in Ausbildung","Studenten","Ledig","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Grüne",0,0,0,1,0,0,0,"Grüne"
"54","02ea1a5ac7cec10e35d8da69aa30358bcbfc9d35",4519,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-13","Bin noch nicht fest entschieden",2.66470171969925,"30 - 39","Frauen","Mittel","Niedrig","Arbeiter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Evangelisch","Mittlere Reife","CDU/CSU-.-FDP-.-AfD",1,1,0,0,1,1,0,"CDU/CSU"
"55","02efa24347bffd0c0808a707c3708e6fce292801",133,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-19","Bin schon fest entschieden",1.54596488202009,"65 +","Frauen","Mittel","Niedrig","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"56","02f677620b3469ace8be2e9cf067a51fc64f7f07",902,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-17","Bin schon fest entschieden",1.40753900169368,"65 +","Männer","Sehr niedrig","Niedrig","Selbstständig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","CDU/CSU",0,1,0,0,0,0,0,"CDU/CSU"
"57","0304b60e163076b0469f48982eb7cfaa3b56b2ed",168,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-19","Bin schon fest entschieden",0.325554100374839,"18 - 29","Frauen","Sehr hoch","Sehr hoch","Arbeiter","Berufsausbildung","Arbeitnehmer",NA,NA,"Westen","Eine andere","Hauptschule / kein Abschluss","AfD",0,0,0,0,0,1,0,"AfD"
"58","031d1ca4bc22915a0b18f90919bbd5ce0d8cab1f",2604,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-11","Bin schon fest entschieden",0.40026974356181,"50 - 64","Frauen","Sehr hoch","Niedrig","Angestellter","Berufsausbildung","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Mittlere Reife","Linke",0,0,0,0,0,0,1,"Linke"
"59","032b1d7de78b644f8bb67254f076440c6f707107",3586,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-08","Bin schon fest entschieden",0.394353631077244,"50 - 64","Männer","Hoch","Sehr hoch","Leitender Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","AfD",0,0,0,0,0,1,0,"AfD"
"60","0336ba891651dd2b3503b409da38880b65d1342a",3331,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-09","Bin schon fest entschieden",0.878059330852148,"65 +","Frauen","Hoch","Sehr hoch","Nicht berufstätig","Berufsausbildung","Rentner","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Mittlere Reife","SPD",0,0,1,0,0,0,0,"SPD"
"61","033d52274b6a6fd8f9f4d79d9be916fb4ab955c4",1078,"Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-17","Bin schon fest entschieden",1.70187982401937,"65 +","Frauen","Mittel","Hoch","Nicht berufstätig",NA,"Arbeitnehmer",NA,NA,"Osten","Evangelisch",NA,"Grüne",0,0,0,1,0,0,0,"Grüne"
