"","Nutzer","Frage","Zeitpunkt","Antwort","Alter","Geschlecht","Bevölkerungsdichte","Kaufkraft","Berufliche.Stellung","Berufsbildung","Beschäftigungsstatus","Familienstand","Kinder.im.Haushalt","Ost_West","Religion","Bildungsabschluss","Ontic","ontic_bin","CDU/CSU","SPD","Grüne","FDP","AfD","Linke"
"17","f50d086dc920041d0687d777861472792444da52","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Niedrig","Mittel","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Katholisch","Hauptschule / kein Abschluss","CDU/CSU",0,1,0,0,0,0,0
"18","b2109868a8632d18b9bbb4c02ff28d11632b57b6","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Sehr niedrig","Mittel","Leitender Angestellter","Berufsausbildung","Arbeitnehmer","Geschieden","Keine Kinder im Haushalt","Westen","Katholisch","Mittlere Reife","CDU/CSU",0,1,0,0,0,0,0
"19","f61dee37fd39e60d61a49717c63963d3beaebb71","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Hoch","Sehr hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Hauptschule / kein Abschluss","AfD",0,0,0,0,0,1,0
"20","5ddde0eed1f791e09e066bdd1584310027f80cd4","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Mittel","Hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Mittlere Reife","AfD",0,0,0,0,0,1,0
"21","f40bc5585537aa92319cba80d85660cd3217ef07","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","40 - 49","Männer","Sehr niedrig","Sehr niedrig","Arbeiter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Katholisch","Abitur","AfD",0,0,0,0,0,1,0
"22","358c720d762b94c280d514b5b003197250940df0","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","40 - 49","Frauen","Sehr niedrig","Niedrig","Weiß nicht / keine Angabe","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","AfD",0,0,0,0,0,1,0
"23","ccf6d18a5aabc711401d07b98091590470277717","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Hoch","Niedrig","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Mittlere Reife","SPD",0,0,1,0,0,0,0
"24","d1604c7464b7e5eea3128ee92ee888dd9249601b","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Mittel","Sehr hoch","Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Konfessionslos","Abitur","AfD",0,0,0,0,0,1,0
"25","54321faa3038416e77bef7ef052081dbe4f37695","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Mittel","Mittel","Nicht berufstätig","Studium oder höher","Rentner","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","Grüne",0,0,0,1,0,0,0
"26","6051782d53c71fd8ca5be5bb09241155d3339fba","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Sehr niedrig","Mittel","Selbstständig","Berufsausbildung","Selbstständige","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Grüne",0,0,0,1,0,0,0
"27","83cbb3cc01090e09c0f77ae1710e0d1793b5f4d1","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","40 - 49","Frauen","Hoch","Sehr hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Mittlere Reife","SPD",0,0,1,0,0,0,0
"28","a831d1273a07af4ad123f6ec8472f794c201498f","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Hoch","Sehr hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","FDP",0,0,0,0,1,0,0
"29","c26264e670ce5840390dba3414b4bb20163b19b0","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","18 - 29","Männer","Niedrig","Hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Weiß nicht / keine Angabe","AfD",0,0,0,0,0,1,0
"30","cbed4ac92f3022b54733ea0b1541964625cb50b8","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","30 - 39","Männer","Niedrig","Hoch","Weiß nicht / keine Angabe","Weiß nicht / keine Angabe","Arbeitnehmer","Weiß nicht / keine Angabe","Kinder im Haushalt","Westen","Weiß nicht / keine Angabe","Weiß nicht / keine Angabe","CDU/CSU",0,1,0,0,0,0,0
"31","cfa5c6d1f9e157b27550fccee519326e4f1ea82a","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Mittel","Hoch","Nicht berufstätig","Berufsausbildung","Rentner","Ledig","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","FDP",0,0,0,0,1,0,0
"32","8210a8be49048c2f41088b18c90f21f577dfb900","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Sehr hoch","Sehr hoch","Weiß nicht / keine Angabe","Ohne Abschluss","Arbeitslose / Nichterwerbspersonen","Weiß nicht / keine Angabe","Kinder im Haushalt","Westen","Konfessionslos","Hauptschule / kein Abschluss","AfD",0,0,0,0,0,1,0
"33","a67b3a31b9d766d7d052d9e27722f59af0e5dbf2","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Sehr niedrig","Mittel","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Mittlere Reife","SPD",0,0,1,0,0,0,0
"34","8f917bd38b1b0d421cca1c9451911c99c48c7f58","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","40 - 49","Männer","Sehr hoch","Sehr niedrig","Arbeiter","Studium oder höher","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Osten","Katholisch","Abitur","CDU/CSU",0,1,0,0,0,0,0
"35","1b0020785437201e8cfa3c963b37e0ffb9e886fb","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Niedrig","Sehr hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Mittlere Reife","SPD",0,0,1,0,0,0,0
"36","59f5ab3cad9012609438527a107984ed2475c116","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Niedrig","Mittel","Arbeiter","Ohne Abschluss","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Mittlere Reife","CDU/CSU",0,1,0,0,0,0,0
"37","241dfeafdae305ce921430cd90ad88081f9a3203","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Sehr hoch","Sehr niedrig","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Weiß nicht / keine Angabe","Westen","Konfessionslos","Mittlere Reife","SPD",0,0,1,0,0,0,0
"38","51f7fcf90d83975b96b1f5eceed8f801bd093d12","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Hoch","Sehr hoch","Selbstständig","Studium oder höher","Selbstständige","Geschieden","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0
"39","e5cf8ff725990fb66d01f56bf41e1936a9dee407","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","40 - 49","Männer","Hoch","Niedrig","Angestellter","Berufsausbildung","Arbeitnehmer","Weiß nicht / keine Angabe","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0
"40","447eea534838eee5915c19114adaed5f94e17f5f","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Niedrig","Mittel","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Hauptschule / kein Abschluss","SPD",0,0,1,0,0,0,0
"41","ce784224cd5249a293bde8257d1af483ce0254e3","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Sehr niedrig","Niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0
"42","1feb687c573fc6150121efb47ee5aa7f9bea1ebb","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Sehr niedrig","Niedrig","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Mittlere Reife","FDP",0,0,0,0,1,0,0
"43","a327d2d68c0e8a9123b1be388bcf9e0a9a9eb19c","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Hoch","Sehr niedrig","Selbstständig","Berufsausbildung","Selbstständige","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","CDU/CSU",0,1,0,0,0,0,0
"44","692dbbbcbf4156ea1b5bd9bd0737144b1da8934a","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Hoch","Sehr niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0
"45","04a372fe9b820a1d9642402c1b4cdcd72ac79be8","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","30 - 39","Männer","Sehr hoch","Niedrig","Leitender Angestellter","Berufsausbildung","Weiß nicht / keine Angabe","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","Grüne",0,0,0,1,0,0,0
"46","e1e548cf148d291000f97f3bc0e733dbabb3583a","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Niedrig","Mittel","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Mittlere Reife","SPD",0,0,1,0,0,0,0
"47","0710237cb2d26b647e0737f68a74b754e9332b7f","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Niedrig","Niedrig","Selbstständig","Studium oder höher","Selbstständige","Weiß nicht / keine Angabe","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0
"48","946d4dc59afb223255e570d729b1d94c313d6a83","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Mittel","Niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Eine andere","Abitur","AfD",0,0,0,0,0,1,0
"49","bb377956df9b47e530089dfb7cd609b8ea4b8257","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Männer","Sehr niedrig","Mittel","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","CDU/CSU",0,1,0,0,0,0,0
"50","bfd97cb87037f042660452e76419597e2379bb9b","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Sehr niedrig","Mittel","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Osten","Konfessionslos","Mittlere Reife","AfD",0,0,0,0,0,1,0
"51","fab04ba5149868c130e31230eeab398ba53237f6","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Sehr niedrig","Hoch","Leitender Angestellter","Studium oder höher","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Grüne",0,0,0,1,0,0,0
"52","3835aa503452f34ca9a8c20314924a4c502b271f","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Niedrig","Mittel","Selbstständig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Weiß nicht / keine Angabe","Westen","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0
"53","20bfbe5a13c3d7e65b3644790d1e26154b8148fc","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Hoch","Hoch","Selbstständig","Berufsausbildung","Selbstständige","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0
"54","4e45b68037a2853b2fe0708b3bdf6be300ad2f2e","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Hoch","Sehr hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","CDU/CSU",0,1,0,0,0,0,0
"55","6e313997715bb3d298d80eac771fa6c872349d7b","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Hoch","Sehr hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Geschieden","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0
"56","fd7478df49de7cd5e76f36db31d271860347d551","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","18 - 29","Frauen","Sehr hoch","Sehr hoch","Beamter","Studium oder höher","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","Grüne",0,0,0,1,0,0,0
"57","2fefbdbba119a0704a14a754c11f52b274efd518","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Mittel","Sehr hoch","Leitender Angestellter","Studium oder höher","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","AfD",0,0,0,0,0,1,0
"58","72b14a54f296402f21bf01c1493aa4737c6ed99c","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Mittel","Niedrig","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Hauptschule / kein Abschluss","SPD",0,0,1,0,0,0,0
"59","0f672f2eb9789538d5a612bb713f148cff5229e3","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Hoch","Sehr hoch","Leitender Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Konfessionslos","Abitur","Grüne",0,0,0,1,0,0,0
"60","20f3da359f5110caaf9dd2dc1e57e4da402dcc29","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Mittel","Mittel","Leitender Angestellter","Studium oder höher","Selbstständige","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","Sonstige",0,0,0,0,0,0,0
"61","a221a82865057ab7f63bfe678fa9a680ca7a541f","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","40 - 49","Männer","Hoch","Niedrig","Arbeiter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Osten","Konfessionslos","Mittlere Reife","SPD",0,0,1,0,0,0,0
"62","a5f6569bcd4df0585aec54552f0ff7ab9c6b27ab","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","18 - 29","Männer","Mittel","Mittel","Angestellter","Noch in Ausbildung","Studenten","Ledig","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Grüne",0,0,0,1,0,0,0
"63","03a5095edcc1cdc3d545043731d96095f45da8f0","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","65 +","Frauen","Niedrig","Sehr hoch","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","Grüne",0,0,0,1,0,0,0
"64","e93d4872399269fd6ae4b861628f14a0f561d344","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Frauen","Sehr niedrig","Sehr niedrig","Selbstständig","Studium oder höher","Selbstständige","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Osten","Konfessionslos","Abitur","CDU/CSU",0,1,0,0,0,0,0
"65","8a84b84f7bbd3d149091aae09880ebcf465432db","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-07-20","Bin schon fest entschieden","50 - 64","Männer","Mittel","Sehr hoch","Beamter","Berufsausbildung","Arbeitnehmer","Weiß nicht / keine Angabe","Kinder im Haushalt","Westen","Katholisch","Weiß nicht / keine Angabe","CDU/CSU",0,1,0,0,0,0,0
