Nutzer,Frage,Zeitpunkt,Antwort,Gewicht,Alter,Geschlecht,Bevölkerungsdichte,Kaufkraft,Berufliche Stellung,Berufsbildung,Beschäftigungsstatus,Familienstand,Kinder im Haushalt,Ost_West,Religion,Bildungsabschluss,Sonntagsfrage
a3d6c503b09ee56bf59464f917a8d5d7117382ef,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.85483356359037899,65 +,Männer,Hoch,Niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Evangelisch,Hauptschule / kein Abschluss,SPD
01d34c45554b3f0f551b3c157d1afd83e3a42821,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.89439468498303498,50 - 64,Frauen,Niedrig,Mittel,Angestellter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Evangelisch,Mittlere Reife,CDU/CSU
0754c396dd99519a42372573bb6c07d9dfc24f79,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.0573528729403101,65 +,Frauen,Hoch,Sehr hoch,Nicht berufstätig,Studium oder höher,Rentner,Weiß nicht / keine Angabe,Keine Kinder im Haushalt,Westen,Katholisch,Mittlere Reife,SPD
c483868c39bd9e4aa0aa43c0e1e7a29034c61744,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.47329848691071602,50 - 64,Männer,Mittel,Sehr hoch,Nicht berufstätig,Berufsausbildung,Selbstständige,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Katholisch,Abitur,CDU/CSU
5b4e120ae333ffdcd733516ff7ef498e0f004dd0,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.33771294579986899,65 +,Männer,Niedrig,Sehr niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Katholisch,Mittlere Reife,SPD
611a616385b8b92ebfc9a65173a6500de43de3d5,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.3635153449191699,30 - 39,Frauen,Hoch,Sehr hoch,Angestellter,Berufsausbildung,Arbeitnehmer,Ledig,Keine Kinder im Haushalt,Westen,Katholisch,Mittlere Reife,Linke
2bcc1b72f279b36e9f76bd45344e8a13ffe053c9,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.69560835803571797,65 +,Männer,Mittel,Sehr hoch,Nicht berufstätig,Berufsausbildung,Rentner,Geschieden,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,AfD
eac92f86767d183a30ca7fe33daac02fe747579a,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.69098470259141498,50 - 64,Frauen,Sehr niedrig,Sehr niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Mittlere Reife,Sonstige
64b39618271277e8cb22c6915de2887d5f1d2cca,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.50051180936083395,18 - 29,Frauen,Hoch,Sehr hoch,Selbstständig,Ohne Abschluss,Selbstständige,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,AfD
5f931499fa99959f364fdbc7e16295118db53828,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.36777752281456799,65 +,Frauen,Mittel,Sehr hoch,Nicht berufstätig,Studium oder höher,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Abitur,SPD
53ab3bc4fd5adcd8a0225a4119abc453a99109dc,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.71306979058363495,65 +,Männer,Hoch,Niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Evangelisch,Mittlere Reife,FDP
c4675e7b165f0ac0ea7dbc51a33828928badfbe4,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.51562370937531898,50 - 64,Frauen,Hoch,Hoch,Nicht berufstätig,Studium oder höher,Arbeitslose / Nichterwerbspersonen,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,Grüne
4a440b5f28e0e64d0300be22fa6d8ce02b6bcf3f,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.75475429185015896,50 - 64,Männer,Sehr niedrig,Sehr niedrig,Leitender Angestellter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Evangelisch,Abitur,SPD
7effdeac5896b19fa5880a9a6f29240b70868d04,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.21731390703971101,50 - 64,Männer,Sehr hoch,Mittel,Leitender Angestellter,Berufsausbildung,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,Grüne
93e3e42cc5c4ef824199e5eb0b8d7ffad2efdb11,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.9433712451926799,65 +,Männer,Mittel,Hoch,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Katholisch,Abitur,SPD
55b6d31bc3dbebf2d676fe654b4554f9fee0a6ec,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.22867406423467401,65 +,Frauen,Hoch,Sehr hoch,Nicht berufstätig,Berufsausbildung,Arbeitslose / Nichterwerbspersonen,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Katholisch,Mittlere Reife,AfD
6e6de9ae18842b7e983e73c21c10b5bdcea287b1,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,3.2901776054189802,30 - 39,Frauen,Mittel,Sehr hoch,Selbstständig,Weiß nicht / keine Angabe,Selbstständige,Weiß nicht / keine Angabe,Kinder im Haushalt,Westen,Weiß nicht / keine Angabe,Weiß nicht / keine Angabe,CDU/CSU
4f0b03b9fa855ae50fda778868c98cc62e496ca4,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.88118620821266902,65 +,Männer,Hoch,Sehr niedrig,Leitender Angestellter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Abitur,SPD
61bc794633b22429a96a97ab25a0a3a8782282b1,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.75223914435644,40 - 49,Männer,Niedrig,Mittel,Angestellter,Berufsausbildung,Arbeitnehmer,Geschieden,Kinder im Haushalt,Westen,Konfessionslos,Abitur,CDU/CSU
09f1de9cf0e8961240a10807e3950302b11df440,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.5525522066620401,40 - 49,Frauen,Hoch,Sehr niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Ledig,Kinder im Haushalt,Osten,Konfessionslos,Mittlere Reife,Grüne
440b0b00738a3e5fe24b7e147cc3408519b075ab,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.32771681682054399,50 - 64,Männer,Hoch,Sehr niedrig,Arbeiter,Weiß nicht / keine Angabe,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Weiß nicht / keine Angabe,Weiß nicht / keine Angabe,AfD
bd76e8f7b65bd6953660776b72fe4cdeb098fbcd,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.4444115228916801,65 +,Frauen,Mittel,Hoch,Leitender Angestellter,Studium oder höher,Rentner,Verheiratet / Verwitwet,Kinder im Haushalt,Westen,Evangelisch,Abitur,CDU/CSU
14a9a796e6a02f409a44907e52c6d1203c5ac0c4,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.35225673125857898,65 +,Männer,Sehr niedrig,Mittel,Beamter,Berufsausbildung,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Mittlere Reife,Grüne
41bdc280843fd04df1aa75687df6290931a19404,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.195764842371417,65 +,Männer,Hoch,Sehr hoch,Selbstständig,Studium oder höher,Rentner,Geschieden,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,Grüne
cace99cca3c846030c9ff679899c5a1f5b9fa68f,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.37396919464898298,65 +,Frauen,Sehr hoch,Hoch,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,Linke
97c12a1c702bd438a280ead65cc33ee6a40e1027,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.06674204658433,50 - 64,Frauen,Niedrig,Niedrig,Beamter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Kinder im Haushalt,Westen,Evangelisch,Abitur,Grüne
fd892a71c0ee4705457108731c39a8b5c2557ee2,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.3522576899321599,40 - 49,Frauen,Niedrig,Mittel,Nicht berufstätig,Berufsausbildung,Arbeitslose / Nichterwerbspersonen,Verheiratet / Verwitwet,Kinder im Haushalt,Osten,Konfessionslos,Mittlere Reife,AfD
5e8e557a450fbd00f310c9a959347c75d4fd76f8,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.778048984401149,65 +,Männer,Mittel,Hoch,Nicht berufstätig,Studium oder höher,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Katholisch,Abitur,FDP
3f3b7d3a981c0dc3b59a9844f16d93029fba58cb,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.081034479847,65 +,Männer,Mittel,Hoch,Nicht berufstätig,Weiß nicht / keine Angabe,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Weiß nicht / keine Angabe,Weiß nicht / keine Angabe,CDU/CSU
4f7dc7fc91f9123d4ac2e58c88b056344e1b5613,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.72002271893210401,50 - 64,Männer,Hoch,Sehr niedrig,Nicht berufstätig,Berufsausbildung,Arbeitslose / Nichterwerbspersonen,Ledig,Keine Kinder im Haushalt,Westen,Evangelisch,Abitur,AfD
c9694dbd488c99c5dac072f45821af9a08ec01bd,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.64222269760389195,50 - 64,Frauen,Hoch,Niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Geschieden,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,SPD
bcdfe65c2104bb473a8e7f0081c2e65adb418106,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.40624056067901498,50 - 64,Männer,Sehr hoch,Mittel,Leitender Angestellter,Studium oder höher,Arbeitnehmer,Geschieden,Kinder im Haushalt,Westen,Konfessionslos,Abitur,FDP
aaa6570e9ab2b6a14be43f9fe87efdc9696df46d,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.51043475290458795,50 - 64,Männer,Sehr niedrig,Niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,Grüne
ae84f94c67f29f0f701d74b02f1090734d18e464,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,2.8618797522170598,18 - 29,Männer,Hoch,Hoch,Nicht berufstätig,Berufsausbildung,Studenten,Ledig,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,SPD
cdb15ec6d5483259538b65e4ec539c389d2b9b2f,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.68087704986669695,65 +,Männer,Hoch,Hoch,Selbstständig,Studium oder höher,Selbstständige,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Eine andere,Abitur,AfD
0affff010195333679403393eeee9e8e9abfca72,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.631111124428407,50 - 64,Frauen,Sehr niedrig,Mittel,Selbstständig,Berufsausbildung,Selbstständige,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,Sonstige
9474e15cccbafd60b82655270ca25963220ba3f0,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.0708159578552301,65 +,Männer,Niedrig,Hoch,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,SPD
0dce7fa773ed104dd091de22e4e68eefea261046,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.9042877796519,40 - 49,Männer,Hoch,Sehr niedrig,Angestellter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Kinder im Haushalt,Westen,Konfessionslos,Abitur,AfD
6b51ee58e5f5cb8a5264fb9d4d401598de3eab0e,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.51562370937531898,50 - 64,Frauen,Hoch,Hoch,Selbstständig,Studium oder höher,Selbstständige,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,Grüne
0fae37412b127d9b2518dfed324665b980131bf0,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,4.2554411582694103,30 - 39,Frauen,Sehr niedrig,Niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Mittlere Reife,AfD
9a222f534f1c078535581045f6c63eec4d66af51,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.81995151075748,30 - 39,Männer,Hoch,Hoch,Leitender Angestellter,Studium oder höher,Arbeitnehmer,Ledig,Keine Kinder im Haushalt,Westen,Katholisch,Abitur,FDP
fefd89e41e0e47dcc7ec6da20e406796b356e7b9,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.3843837746919101,50 - 64,Männer,Hoch,Sehr niedrig,Nicht berufstätig,Studium oder höher,Arbeitslose / Nichterwerbspersonen,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Abitur,SPD
0ba0ae275fe2f529f552c5cc5d0a2b36cd478bd7,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.29539934787016,65 +,Frauen,Hoch,Mittel,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Evangelisch,Abitur,CDU/CSU
5569e9e31f698751d61e5dad71cc809729f5bfa1,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.35814740310041498,50 - 64,Männer,Hoch,Niedrig,Angestellter,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,Linke
baf49dc4c796486d14b322e9b0531dcd85e6e0e4,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.65054851788392298,50 - 64,Männer,Hoch,Hoch,Leitender Angestellter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Abitur,AfD
32fbdae8af4c847d0c5a1d8a8749198490ecf501,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.73591952315074904,50 - 64,Männer,Sehr niedrig,Niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Hauptschule / kein Abschluss,CDU/CSU
99fb8c313a1d4d99e8c3813d700817330fbdebbd,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.75317434109993797,40 - 49,Männer,Hoch,Sehr hoch,Nicht berufstätig,Ohne Abschluss,Arbeitslose / Nichterwerbspersonen,Ledig,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,Grüne
6001eb6e46fb9cfe3c70df8f119806e82acfd972,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.65664353167576694,65 +,Männer,Hoch,Hoch,Nicht berufstätig,Studium oder höher,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Evangelisch,Abitur,FDP
1016964126a99f8aa01a85f5da06d44f8edbc0ff,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.53518015129789,65 +,Frauen,Mittel,Mittel,Nicht berufstätig,Berufsausbildung,Rentner,Geschieden,Keine Kinder im Haushalt,Westen,Katholisch,Hauptschule / kein Abschluss,CDU/CSU
bd66815e1f52d77e7a0e8cea3a0f31f8b21c4364,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.64845605856661803,50 - 64,Männer,Niedrig,Hoch,Leitender Angestellter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Abitur,Linke
153e766223a5303f3b2eecec3b7745b913146515,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.701234584024648,50 - 64,Frauen,Niedrig,Hoch,Nicht berufstätig,Berufsausbildung,Rentner,Ledig,Keine Kinder im Haushalt,Westen,Evangelisch,Abitur,Grüne
1ffd62931a3b5c784e8ac9291b546cb548762098,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.63948564630504501,65 +,Frauen,Mittel,Sehr hoch,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Mittlere Reife,FDP
e52028c71207824af5051664ecaf51207b2c3abb,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.45542770895236701,50 - 64,Frauen,Mittel,Niedrig,Angestellter,Berufsausbildung,Arbeitnehmer,Geschieden,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,AfD
8dfc1c5bd9018335d22d7957a41bfad0917de7df,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.51778565949028599,50 - 64,Männer,Hoch,Niedrig,Beamter,Noch in Ausbildung,Arbeitnehmer,Geschieden,Keine Kinder im Haushalt,Osten,Eine andere,Abitur,Linke
cca7d72ed9a156c908bba6e35eb7de71d6a0a766,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,2.1641702066937301,18 - 29,Frauen,Mittel,Sehr hoch,Weiß nicht / keine Angabe,Noch in Ausbildung,Studenten,Ledig,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,FDP
6496013fa641864b69b7df2cce965a455d50e208,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.67955162691020599,50 - 64,Frauen,Mittel,Hoch,Selbstständig,Berufsausbildung,Selbstständige,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,FDP
8afec58c53959a909bb8560d289a1ff150ff1bdd,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,2.33579928380292,30 - 39,Frauen,Mittel,Sehr hoch,Leitender Angestellter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Kinder im Haushalt,Westen,Evangelisch,Abitur,SPD
d5e715f176d9927b311e3e9208ebab9699210ca4,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.84542523509156797,40 - 49,Männer,Mittel,Sehr hoch,Nicht berufstätig,Berufsausbildung,Arbeitslose / Nichterwerbspersonen,Ledig,Keine Kinder im Haushalt,Westen,Weiß nicht / keine Angabe,Weiß nicht / keine Angabe,Sonstige
